RELIANCE_Close,RELIANCE_Volume,log_return_RELIANCE,SMA_20_RELIANCE,SMA_ratio_RELIANCE,RSI_14_RELIANCE,MACD_RELIANCE,MACD_signal_RELIANCE,MACD_hist_RELIANCE,Volume_SMA_20_RELIANCE,Volume_ratio_RELIANCE,StdDev_RELIANCE,UpperBand_RELIANCE,LowerBand_RELIANCE,BB_Position_RELIANCE,SBIN_Close,SBIN_Volume,log_return_SBIN,SMA_20_SBIN,SMA_ratio_SBIN,RSI_14_SBIN,MACD_SBIN,MACD_signal_SBIN,MACD_hist_SBIN,Volume_SMA_20_SBIN,Volume_ratio_SBIN,StdDev_SBIN,UpperBand_SBIN,LowerBand_SBIN,BB_Position_SBIN,INFY_Close,INFY_Volume,log_return_INFY,SMA_20_INFY,SMA_ratio_INFY,RSI_14_INFY,MACD_INFY,MACD_signal_INFY,MACD_hist_INFY,Volume_SMA_20_INFY,Volume_ratio_INFY,StdDev_INFY,UpperBand_INFY,LowerBand_INFY,BB_Position_INFY,NSEI_Close,NSEI_Volume,log_return_NSEI,SMA_20_NSEI,SMA_ratio_NSEI,RSI_14_NSEI,MACD_NSEI,MACD_signal_NSEI,MACD_hist_NSEI,Volume_SMA_20_NSEI,Volume_ratio_NSEI,StdDev_NSEI,UpperBand_NSEI,LowerBand_NSEI,BB_Position_NSEI,SMA_200_NSEI,SMA_200_ratio_NSEI,India_VIX_Close
181.968505859375,20720312,0.021534497235270324,189.00568353562127,0.9627673753264674,45.532093031447275,-4.566579153747995,-4.234538753187869,-0.3320404005601256,13653570.714285715,1.51757459155504,4.924310378616671,198.8543042928546,179.15706277838794,0.14273283279259505,262.79852294921875,15046745,0.0008330820105630812,269.6112031482515,0.9747314647185241,47.95388762206925,1.5458869673886966,3.016783546177469,-1.4708965787887722,13187986.952380951,1.1409432731720643,4.756889905459466,279.12498295917044,260.09742333733254,0.1419572275241533,358.0028991699219,7249916,0.004773356655018594,357.75582013811385,1.0006906359530716,54.45500507543725,-2.42654622316644,-2.9857906176064324,0.5592443944399923,10565557.142857144,0.6861839751537678,4.617751865148871,366.9913238684116,348.5203164078161,0.5133765863719865,8102.10009765625,164100,-0.0031116297926513815,8242.831008184523,0.9829268718006547,51.730883984113824,-29.170834616004868,-21.922616845186827,-7.248217770818041,141733.33333333334,1.157808090310442,108.94592585542057,8460.722859895364,8024.939156473682,0.1770624752025975,7650.748515625,1.0589944344804252,18.139999389648438
179.3591766357422,19872227,-0.014443258628702847,188.01369948614212,0.9539686582730221,38.9228218957898,-4.833351988584269,-4.354301400267149,-0.47905058831712033,14095164.857142856,1.409861268130508,4.648974658067449,197.311648802277,178.71575017000723,0.03460045024510986,266.9136657714844,8939749,0.015537590783266135,269.5403238932292,0.9902550457615934,47.07416990050792,1.245523589734546,2.662531554888884,-1.4170079651543381,12902900.80952381,0.692847998443997,4.786801544543201,279.1139269823156,259.96672080414277,0.362817682071691,359.8078308105469,13564920,0.005029001014498531,357.83092099144346,1.0055247037165653,51.43180908621174,-2.261061677476164,-2.8408448295803788,0.5797831521042149,10732912.38095238,1.2638619899733423,4.638638957353337,367.10819890615016,348.55364307673676,0.6065457902206465,8234.599609375,143800,0.01622144246054657,8233.133370535714,1.0001780900142507,59.3832970390695,-27.37701173577443,-23.01349582330435,-4.363515912470081,140780.95238095237,1.0214450006764986,99.31982205953561,8431.773014654786,8034.493726416643,0.5036907004156984,7659.288264160156,1.0751128989238958,16.469999313354492
183.24649047851562,13392787,0.021441820288240356,187.28086853027344,0.9784581410615059,38.13033033020452,-4.677182000060014,-4.418877520225722,-0.25830447983429217,14102309.285714285,0.9496875106523841,4.067405306125401,195.41567914252425,179.14605791802262,0.2520299951296689,265.4689636230469,11953948,-0.005427320933887079,269.0087367466518,0.9868414194779904,48.72143437306381,0.8807552610448397,2.3061762961200754,-1.4254210350752357,12739678.666666666,0.9383241377412032,4.5750138603458534,278.1587644673435,259.8587090259601,0.30657036051017467,378.22247314453125,44863328,0.049912490160023255,358.79202561151413,1.05415518223935,61.419070718652826,-0.6366671415038354,-2.40000929196507,1.7633421504612348,12497608.38095238,3.589753065744663,6.429281651085156,371.65058891368443,345.93346230934384,1.2555450427802517,8284.5,148000,0.006041557177687999,8230.45717075893,1.0065662001660216,56.1876134716225,-21.678948269945977,-22.746586312632676,1.0676380426866992,140861.90476190476,1.0506744193908253,97.00671290136732,8424.470596561663,8036.443744956195,0.6392760037380792,7668.024514160156,1.0803956070695169,15.960000038146973
181.11643981933594,10100113,-0.011692050686544874,186.7143809000651,0.9700186935053207,34.41778694575487,-4.671443947674362,-4.4693908057154506,-0.20205314195891155,13506092.857142856,0.7478190107850796,4.057604980399153,194.8295908608634,178.5991709392668,0.1550957332390792,268.8836364746094,8536142,0.012780771844335258,268.7189679827009,1.0006127907275941,49.19995926536083,0.8573265670559636,2.016406350307253,-1.1590797832512894,12519882.285714285,0.6818068896494417,4.3666078373609585,277.45218365742284,259.985752307979,0.509427712136482,385.78900146484375,12758888,0.019808015897241522,360.48416428338913,1.0701968066524044,65.6196238371461,1.246859807006615,-1.6706354721707333,2.9174952791773485,12710606.285714285,1.003798537473384,8.43363386005882,377.3514320035068,343.6168965632715,1.2501166634941205,8323.0,103200,0.004636467736743234,8228.902390252977,1.0114350134786483,54.96798861829703,-13.896374918998845,-20.97654403390591,7.080169114907065,139266.66666666666,0.7410244135950216,95.1436061202269,8419.18960249343,8038.615178012523,0.7472515326480419,7677.080014648437,1.0841361538656755,16.110000610351562
179.59347534179688,9948711,-0.008444311970787313,186.3167739141555,0.9639146898525822,35.22197651097056,-4.735202537914631,-4.522553152155287,-0.21264938575934433,13128657.714285715,0.7577858465435112,4.331053516912229,194.97888094797997,177.65466688033104,0.1119132130771357,267.1325378417969,9484804,-0.006533776204079871,268.45838419596356,0.9950612592780903,47.30766667707118,0.6895118695234146,1.7510274541504853,-1.0615155846270707,12413066.61904762,0.7640983723913755,4.2856527426688995,277.02968968130136,259.88707871062576,0.4226578517904142,380.8570861816406,8801236,-0.012866388806744683,361.7886483328683,1.052706014786921,65.77848621992604,2.3149191907179443,-0.8735245395929978,3.188443730310942,12435784.19047619,0.7077347005378504,9.360946644966576,380.5105416228015,343.06675504293514,1.0092550615309006,8299.400390625,129600,-0.0028394966643650508,8229.2119140625,1.0085291856979108,48.64703442518671,-9.523143840118792,-18.685863995148488,9.162720155029696,139061.90476190476,0.9319590453035647,95.37251381066041,8419.95694168382,8038.466886441179,0.6839850753410025,7685.992517089844,1.0798085442018373,16.479999542236328
177.8468780517578,11380041,-0.009772881963551172,185.87200273786272,0.9568244567880251,35.51240946789973,-4.870523125622611,-4.592147146848752,-0.2783759787738598,13068280.42857143,0.8708139576741559,4.700999669177115,195.27400207621696,176.47000339950847,0.0732224392901377,266.7823486328125,8855660,-0.00131177934188259,268.21448189871654,0.9946604923948705,48.616631805680264,0.5222401112581565,1.5052699855720197,-0.9830298743138632,12114862.904761905,0.7309748421931517,4.225055707855575,276.6645933144277,259.7643704830054,0.41525950371530623,388.1045837402344,9921260,0.01885064615167187,363.5584978376116,1.0675161935386437,76.75580368956008,3.7034849610836886,0.04187736054233948,3.661607600541349,12290783.047619049,0.8072113844627606,10.633797684071743,384.82609320575506,342.2909024694681,1.0770771322981667,8277.5498046875,146100,-0.0026362628028638235,8231.757161458334,1.00556292445598,50.60357012346898,-7.731364023018614,-16.494964000722515,8.763599977703901,139442.85714285713,1.0477410101424036,95.94078899293146,8423.638739444197,8039.875583472471,0.6193252726594383,7694.914765625,1.075716893144193,17.25
184.0878448486328,16927085,0.03449011692427486,185.86845252627418,0.9904200650866791,43.67284504525183,-4.4231840908781805,-4.5583545356546376,0.135170444776457,12879747.42857143,1.314240445620096,4.702383270957329,195.27321906818884,176.46368598435953,0.405334828155542,280.44097900390625,30729523,0.04993013698375703,269.2443033854167,1.041585561802813,62.2458996876504,1.4748126366787915,1.4991785157933741,-0.024365879114582656,12580462.19047619,2.442638635587111,4.449059397990304,278.1424221813973,260.34618458943606,1.1291597057714957,389.12554931640625,8342452,0.002627191406986339,365.26236397879467,1.0653316292367778,75.69893717220654,4.830632206494045,0.9996283297326806,3.831003876761364,11840768.57142857,0.7045532517314875,11.725894899926269,388.7141537786472,341.81057417894215,1.0087710902063844,8494.150390625,232100,0.025830729950324278,8244.831008184523,1.0302394775821337,66.04019499961333,11.039238005600055,-10.988123599458001,22.027361605058054,143966.66666666666,1.6121787450798797,111.62563900353783,8468.082286191599,8021.579730177447,1.0583828783770532,7704.864516601562,1.1024399419772761,16.15999984741211
185.2487335205078,19136963,0.006286366219328621,185.8704819452195,0.9966549372541309,42.8795748027301,-3.9296916301068734,-4.432621954545085,0.5029303244382115,12801510.0,1.4948988830223935,4.702092319674837,195.27466658456916,176.46629730586983,0.4669429911669562,276.194580078125,21598514,-0.015257671685155393,269.8154994419643,1.0236423802537438,57.003604012112056,1.8655790868841677,1.572458630011533,0.29312045687263466,12261799.047619049,1.7614473957794896,4.5380995878721695,278.89169861770864,260.7393002662199,0.8514180608053578,386.21746826171875,6690960,-0.0075014403318537995,366.8234049479167,1.0528702995834078,72.01642843906951,5.426691164131114,1.8850408966123675,3.5416502675187465,11309301.142857144,0.5916333746427782,12.243370927629888,391.31014680317645,342.3366630926569,0.8960115114432036,8513.7998046875,176000,0.0023106162211340322,8266.07861328125,1.029968404971159,65.80193537218354,27.187221480236985,-3.353054583519004,30.54027606375599,142952.38095238095,1.2311792138574285,118.46062812919637,8502.999869539643,8029.1573570228575,1.0227922460571686,7714.850266113282,1.1035599539868617,17.270000457763672
187.3681182861328,13339962,0.011375801233335545,185.8659173874628,1.0080821751496187,49.864751328252986,-3.329201696573989,-4.211937902950866,0.8827362063768769,12723855.857142856,1.0484213393938502,4.700514353770511,195.26694609500382,176.46488867992176,0.5798955592841707,274.1807861328125,9975658,-0.007317925386323169,270.06774466378346,1.0152296657053566,53.008865403379765,1.9898304458305347,1.6559329931753335,0.3338974526552012,11835791.0,0.8428383029068357,4.630000734350589,279.32774613248466,260.80774319508225,0.7220864367954073,383.3367614746094,4087744,-0.007486724473298158,368.00937906901044,1.0416494341648959,68.31204907314334,5.602046316993267,2.6284419806885477,2.973604336304719,10553956.57142857,0.38731862996918587,12.591125858300261,393.191630785611,342.8271273524099,0.8043290681478573,8550.7001953125,125400,0.004324820315931695,8290.883393787202,1.0313376499445153,65.49898613681415,42.47257050332519,5.812070433849835,36.660500069475354,138628.57142857142,0.9045754328112119,121.02052678117381,8532.92444734955,8048.8423402248545,1.0367205225951572,7724.983518066406,1.1068891183152678,17.649999618530273
192.3523712158203,13361320,0.026253727942798073,185.89127386183966,1.0347573999561848,53.01726375024502,-2.423188532644957,-3.8541880288896846,1.4309994962447274,12404226.476190476,1.0771586624644942,4.735544064551482,195.36236199094262,176.4201857327367,0.8410958306741914,278.55853271484375,13104643,0.015840516394495848,270.65145002092635,1.029215002148727,55.302982144204684,2.4137241957560036,1.8074912336914677,0.6062329620645359,11786941.714285715,1.1117933148101715,4.896356776766589,280.44416357445954,260.85873646739316,0.9037227598691129,387.2931823730469,6804504,0.010268107777925313,369.0994146437872,1.0492923234430438,69.58036972093035,5.991203772621077,3.3009943390750536,2.6902094335460234,10197283.80952381,0.6672859289887466,13.237507895157187,395.5744304341016,342.6243988534728,0.8436025848845695,8695.599609375,158700,0.01680393189462208,8316.421479724702,1.0455939048513507,69.88308509316086,65.52318102493882,17.754292552067632,47.76888847287119,138466.66666666666,1.1461242176215696,145.89452727687248,8608.210534278447,8024.6324251709575,1.1497470068209141,7736.046015625,1.1240366967585154,17.270000457763672
